,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,BusinessAcceptsCreditCards,GoodForKids,RestaurantsTakeOut,Caters,RestaurantsReservations,RestaurantsPriceRange2,NoiseLevel,RestaurantsAttire,OutdoorSeating,BikeParking,Ambience,RestaurantsDelivery,RestaurantsGoodForGroups,Alcohol,BusinessParking,GoodForMeal,DriveThru,HasTV,WiFi,year,preparedText,BYOBCorkage,Corkage,RestaurantsTableService,DogsAllowed,Topic0,Topic1,Topic2,Topic3,Topic4
0,0,1,1,0,0,"Hate to say this but they leave the food on the warmer over heated and soggy. It's not like there's a lot of people by 1:45pm but Christ people will be eating what they paid for! Yup that's what I had, a soggy string beans and broccoli. Yuck! Do a better job please!!!",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2018,"hate say leav food warmer heat soggi . 's like 's lot peopl 1:45pm christ peopl eat paid ! yup 's , soggi string bean broccoli . yuck ! better job pleas ! ! !",,,,,0.24313400747439565,0.10021438506305796,0.008278892492348176,0.6400819731857031,0.008290741784495237
1,1,1,1,0,1,Went to this panda location last week and couldn't believe it. Everything I touched was nasty. There was some kind of sauce on almost every tray. The floor and tables were not wiped off and were sticky. The manager was sitting at a table talking to someone and not running the shop. I won't go back to this location.,Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2017,went panda locat last week could n't believ . everyth touch nasti . kind sauc almost everi tray . floor tabl wipe sticki . manag sit tabl talk someon run shop . wo n't go back locat .,,,,,0.7871280487492142,0.006573449353149567,0.006633960447084248,0.09112183114888942,0.10854271030166267
2,2,1,0,0,0,"Employees were on their phones while I was just standing waiting for my order to be taken. Horrible customer service. The food was OK, beef texture felt like it was over cooked. One employee was taking orders, running the register while the other two and the cook were on their phones texting and watching videos.",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2018,"employe phone stand wait order taken . horribl custom servic . food ok , beef textur felt like cook . one employe take order , run regist two cook phone text watch video .",,,,,0.7113955198775612,0.00693708705568192,0.007077282927877715,0.26739571739976403,0.007194392739115032
3,3,1,1,0,0,My boyfriend got food poising from this location. We know it was here because this is the only thing he had to eat that I didn't. He was throwing up for 4 days and had to miss work. AVOID,Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2016,boyfriend got food pois locat . know thing eat n't . throw 4 day miss work . avoid,,,,,0.6482217178676972,0.01470159192648081,0.30774116627010784,0.014813236264771575,0.01452228767094255
4,4,3,0,1,0,"It is what it is - Chinese food served from steam tables prepared by non-Chinese to recipes. It's decent if you want something quick and reasonably priced, and are not a connoisseur of Chinese food.",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2010,"- chines food serv steam tabl prepar non-chines recip . 's decent want someth quick reason price , connoisseur chines food .",,,,,0.010670378404131554,0.010566214309060625,0.2632183148283583,0.43528334296006266,0.2802617494983869
5,5,2,1,0,0,First impressions here not really wow at all... chow mein don't feel like it was cooked right portions are very small felt like cattle coming in and out. .. I have to ask for your cookie..lol,Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2016,first impress realli wow ... chow mein n't feel like cook right portion small felt like cattl come . .. ask cooki .. lol,,,,,0.1554665155346649,0.010368221225958093,0.01036171850222373,0.8136948374485312,0.01010870728862207
6,6,2,1,0,0,"3 of us took a quick lunch break, and figured panda was something we haven't had in a while. Ugh, should have kept driving, the food was either cold, dried out, and the egg rolls had a slimy filling! The soda machines had four of the flavors out of syrup. Sorry panda but your not getting my money again",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2017,"3 us took quick lunch break , figur panda someth n't . ugh , kept drive , food either cold , dri , egg roll slimi fill ! soda machin four flavor syrup . sorri panda get money",,,,,0.3881934117272142,0.006944244208074131,0.007031089334226173,0.42074931790536907,0.17708193682511644
7,7,1,0,0,0,This is my first ever bad review for a restaurant . I am food poisoned after eating at this place today . I suffered from severe diarrhea and vomiting within 15 mins of eating my dinner . Now I just hate panda express and I am never gonna go back .,Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2015,first ever bad review restaur . food poison eat place today . suffer sever diarrhea vomit within 15 min eat dinner . hate panda express never gon na go back .,,,,,0.5289403638302648,0.007305510232614147,0.37271200861325804,0.0073820777320832975,0.08366003959177976
8,8,1,0,0,0,"This is the worst Panda Express I've ever been to. I can't imagine how lousy the service is. Everytime I come in they aren't busy but have no food ready either. Had to wait on the orange chicken and the cooker in the back was just talking to this other worker and laughing the whole time. He looked at me a couple times but still took his time. One time I went to this location 20 minutes before closing and they told me they weren't making any more fried rice. Can you imagine, a Panda Express without rice? Horrible service.",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2018,"worst panda express 've ever . ca n't imagin lousi servic . everytim come n't busi food readi either . wait orang chicken cooker back talk worker laugh whole time . look coupl time still took time . one time went locat 20 minut close told n't make fri rice . imagin , panda express without rice ? horribl servic .",,,,,0.6917577902393369,0.0040561976334399135,0.004095420795310203,0.23036497639995193,0.0697256149319611
9,9,3,0,0,0,"Ordered for delivery...normally order from a different ""Chinese"" place but didn't have alot of money....so this would have to do..Typically Panda sucks..dry chow mein, lackluster chicken/beef......
This places's chow mein was pretty decent actually, fresh and with tons of veggies!!(which I LOVE)....not alot in quantity like most Chinese places give you tho....I'm still hungry!!!!!!!
Got the orange chicken, was good enough, but not the best...wasn't crunchy like a good orange chicken should be...taste wise, it ""tasted"" like orange chicken for most part.....
Also got the Beijing beef...actually liked this, but would've liked more veggies in with it...but the beef was tender and was sorta bland..flavor was there..just not alot of it.

Overally.....If money is tight, I'd order again......but I would rather have the other Chinese place's food....SOOOOOO much better in taste and quantity.........
This place is......only 1/2 Fat Man Approved.....",Panda Express,Austin,TX,78727,30.4183815514,-97.7019745078,56,1,"Food, Fast Food, Chinese, Restaurants",True,True,True,True,False,1,'average','casual',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,True,'none',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",False,True,u'no',2018,"order deliveri ... normal order differ `` chines '' place n't alot money .... would .. typic panda suck .. dri chow mein , lacklust chicken/beef ...... place 's chow mein pretti decent actual , fresh ton veggi ! ! ( love ) .... alot quantiti like chines place give tho .... 'm still hungri ! ! ! ! ! ! ! got orang chicken , good enough , best ... n't crunchi like good orang chicken ... tast wise , `` tast '' like orang chicken part ..... also got beij beef ... actual like , would 've like veggi ... beef tender sorta bland .. flavor .. alot . over ..... money tight , 'd order ...... would rather chines place 's food .... soooooo much better tast quantiti ......... place ...... 1/2 fat man approv .....",,,,,0.002247597259332969,0.0022229443766192338,0.002253207491661754,0.8492792680758819,0.1439969827965041
