,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,OutdoorSeating,RestaurantsDelivery,RestaurantsPriceRange2,BikeParking,BusinessParking,NoiseLevel,RestaurantsGoodForGroups,RestaurantsTakeOut,Alcohol,HasTV,WiFi,GoodForKids,RestaurantsReservations,Caters,RestaurantsAttire,year,preparedText,BusinessAcceptsCreditCards,Ambience,DriveThru,GoodForMeal,RestaurantsTableService,Topic0,Topic1,Topic2,Topic3,Topic4
0,0,1,4,1,1,"Is there an option for no stars?

I am a university student (obviously) and I eat here quite often. I commute 1.5 hours and sometimes I forget to pack a lunch -- so Subway is always the best bet. Sometimes I get the footlong and eat half for lunch and the other half for dinner. It's actually quite perfect.

The reason why I wouldn't even give this place any stars is because of the customer service. Wow. I've had never been to a place with such terrible service. I mean, I'm not expecting full-fledged, strenuous service or anything, but I mean, can I get at least a smile!?

I would order my sandwich, and they would already be choosing my bread for me. I once asked for turkey and she scooped up tuna and smeared it on my bread (I wasn't paying attention because the other ladies were being terribly rude to a customer ahead of me and I couldn't help but watch in disgust). I corrected her and she looked at me, scoffed, rolled her eyes and tossed the tuna sandwich in the trash like it was bacteria infested. SO dramatic. Another occasion, I ordered a ham sandwich and I wanted it toasted -- but after her putting the ham, the cheese, she added lettuce without my saying. I told her I wanted it toasted and she said, ""too late."" I have umpteen many affairs with them, but the general point is the service is terrible. They are slow, rude and do NOT listen. It's awfully frustrating when the Subway is known for their ""personalized sandwiches"" and you get the complete opposite.

And they don't close the sandwich when they're done with it, instead, they just wrap it up. You know what that means, right? The sauce of your choice isn't in the sandwich, it's in the paper. Ayyyya.",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2013,"option star ? univers student ( obvious ) eat quit often . commut 1.5 hour sometim forget pack lunch -- subway alway best bet . sometim get footlong eat half lunch half dinner . 's actual quit perfect . reason would n't even give place star custom servic . wow . 've never place terribl servic . mean , 'm expect full-fledg , strenuou servic anyth , mean , get least smile ! ? would order sandwich , would alreadi choos bread . ask turkey scoop tuna smear bread ( n't pay attent ladi terribl rude custom ahead could n't help watch disgust ) . correct look , scof , roll eye toss tuna sandwich trash like bacteria infest . dramat . anoth occas , order ham sandwich want toast -- put ham , chees , ad lettuc without say . told want toast said , `` late . '' umpteen mani affair , gener point servic terribl . slow , rude listen . 's aw frustrat subway known `` person sandwich '' get complet opposit . n't close sandwich 're done , instead , wrap . know mean , right ? sauc choic n't sandwich , 's paper . ayyyya .",,,,,,0.0014265695920347777,0.0013954273427349184,0.37309339274341896,0.6226947113226147,0.001389898999196523
1,1,2,8,2,0,"This is the worst Subway location I've been to. They're rude and they rush you. The line is super long and with all that rushing you'd think it'd move a bit faster. Their prep area is also very sloppy and their toppings look very not fresh. The service is rude, they make it fast and sloppily... This is the worst Subway location I've ever been to in my life and usually Subway is my go-to fast food. Only thing keeping this away from 1 star is that Subway in general is pretty tasty.",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2010,"worst subway locat 've . 're rude rush . line super long rush 'd think 'd move bit faster . prep area also sloppi top look fresh . servic rude , make fast sloppili ... worst subway locat 've ever life usual subway go-to fast food . thing keep away 1 star subway gener pretti tasti .",,,,,,0.00428249759626795,0.004219002757800763,0.2267917237779595,0.7605374071853095,0.004169368682662285
2,2,3,0,0,0,"I'm writing this because I think people need to cut them some slack. I have been at UBC since 2013 and don't live on campus, so sometimes I have to bend my dietary rules and eat fast food, and it normally is subway (if not at agora, sprouts etc.). Nearly every time I've gone there I have gotten the regular amount of vegetables and when I request extra,  I get extra without an issue. Only time I had an issue is when they cooked my veggie patty so it was burned on the outside and frozen on the inside (which isn't good, but mistakes happen).

I do agree, during peak hours they do rush you and have several sandwiches on the go. They have always ask you which one is yours before wrapping it up and sending you on your way if they aren't certain it's correct. In reality, most people would be complaining if the opposite were true considering the long line - ups.  I think people are perceiving them as ""rushing"" us or being rude and inconsiderate, when in rarity I believe they're trying to be efficient and respectful of students tight schedules.

There are two particular women who can come across rude and don't listen well, but they will always fix their wrongs (not their attitude though), not just pass along your sandwich and ignore you as I have read. The rest of them are so nice and actually try to get to know you when it isn't so busy! Those always the rotten apples of the bunch. I've also noticed they just hired a bunch of students who are doing a great job.

That said, management of Pacific Spirit food court needs to monitor their staff better (maybe those 2 rude ladies are the ones causing all of this hatred toward Subway) because there are so many rude staff generally in that food court. Also their hours of operation online  are so incorrect and misleading.

So 3/5 when considering the context/environment, the fact there are GREAT workers, and that you're always bound to have a rude one or two... And I think they're gone ;)",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2015,"'m write think peopl need cut slack . ubc sinc 2013 n't live campu , sometim bend dietari rule eat fast food , normal subway ( agora , sprout etc. ) . nearli everi time 've gone gotten regular amount veget request extra , get extra without issu . time issu cook veggi patti burn outsid frozen insid ( n't good , mistak happen ) . agre , peak hour rush sever sandwich go . alway ask one wrap send way n't certain 's correct . realiti , peopl would complain opposit true consid long line - up . think peopl perceiv `` rush '' us rude inconsider , rariti believ 're tri effici respect student tight schedul . two particular women come across rude n't listen well , alway fix wrong ( attitud though ) , pass along sandwich ignor read . rest nice actual tri get know n't busi ! alway rotten appl bunch . 've also notic hire bunch student great job . said , manag pacif spirit food court need monitor staff better ( mayb 2 rude ladi one caus hatr toward subway ) mani rude staff gener food court . also hour oper onlin incorrect mislead . 3/5 consid context/environ , fact great worker , 're alway bound rude one two ... think 're gone ; )",,,,,,0.2701898685612986,0.0011827179276009386,0.3480718301526353,0.37263086666995837,0.007924716688506861
3,3,1,0,0,0,"Can you subway employees please listen more carefully to the customers.  I really like subway and whenever I come to yours you start to preemptively load my sandwich with whatever you want therefore tainting my sandwich. Today when I asked for some house sauce and salt and pepper you pre-emptively started squirting Chipotle mayo on my sandwich and therefore ruined it but I still ate it because it would've messed up a lot of students behind me. Other times you start putting on all the veggies pre-emptively when I only want certain toppings. Stop trying to tell me it would be easier to just ask for everything because I don't want everything! When you go out to eat do you let the staff order your food for you? Next time you screw up my sandwich I'll either ask you to remake it from scratch or I'll just leave without paying.  I am paying you money and I deserve to have the sandwich how I want it to be made because that's the whole idea of subway. We the students understand it is busy but we also understand it's lunch time and have to wait. Either way we are going to wait for our food because we're hungry. Don't waste our time waiting in an already long line by ruining our sandwiches. Good food takes time to make and if all you care about is quantity over quality then the quantity of your customers is gonna diminish. I mean aren't you embarassed that other subways have half your staff each with multiple tasks yet you have the most staff i have seen at any subway and still screw up a ton of orders? All you have to do is give each of your 5 workers 1 job. Also why did you take away the sub of the day? Every other subway has it and we are students.... who is the smart-ass that was like ""let's exploit the poor students to pay full price for all the sandwiches because they probably don't have time to go to the village subway and come back to campus""?",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2016,subway employe pleas listen care custom . realli like subway whenev come start preemptiv load sandwich whatev want therefor taint sandwich . today ask hous sauc salt pepper pre-empt start squirt chipotl mayo sandwich therefor ruin still ate would 've mess lot student behind . time start put veggi pre-empt want certain top . stop tri tell would easier ask everyth n't want everyth ! go eat let staff order food ? next time screw sandwich 'll either ask remak scratch 'll leav without pay . pay money deserv sandwich want made 's whole idea subway . student understand busi also understand 's lunch time wait . either way go wait food 're hungri . n't wast time wait alreadi long line ruin sandwich . good food take time make care quantiti qualiti quantiti custom gon na diminish . mean n't embarass subway half staff multipl task yet staff seen subway still screw ton order ? give 5 worker 1 job . also take away sub day ? everi subway student .... smart-ass like `` let 's exploit poor student pay full price sandwich probabl n't time go villag subway come back campu '' ?,,,,,,0.27594998032294304,0.005324135613165619,0.1920285964044504,0.5198717931582081,0.006825494501232857
4,4,1,3,3,0,"I ordered a footlong turkey on a parmesan oregano bun. Everything looked great, until I realized that they didn't use turkey but chicken. Also, the bun that they used wasn't fresh at all. It  tasted soft and mushy.  I find it unacceptable for someone to trick me in thinking what I was eating was turkey. The parmesan oregano bun was nasty, it must have been sitting there from yesterday.  This place has gone downhill and I will probably never return.",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2010,"order footlong turkey parmesan oregano bun . everyth look great , realiz n't use turkey chicken . also , bun use n't fresh . tast soft mushi . find unaccept someon trick think eat turkey . parmesan oregano bun nasti , must sit yesterday . place gone downhil probabl never return .",,,,,,0.005004921834745805,0.00489341172182863,0.06824439079522131,0.9169655934381143,0.004891682210090021
5,5,5,1,3,0,"Sadly, if you want to finest Subway sandwiches anywhere, this is the only place to get it! They bake their breads so superbly that most of the time they are super crispy and toasty and they're huge! The breads are the biggest breads I've ever encountered at any Subway sandwich any on this planet! I believe UBC students are very smart and starvin' (the starvin' students) and due to the many restaurants on campus and Point Grey area, Subway needs to deliver a quality product. 

Subway sandwiches here taste so insanely better than any other Subway sandwhich location anywhere in BC, Canada or the rest of the world. Weird, but true! 

Just a note, they don't accept coupons or any other promotions, so I believe it's another reason why they can deliver such a quality product!",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2009,"sadli , want finest subway sandwich anywher , place get ! bake bread superbl time super crispi toasti 're huge ! bread biggest bread 've ever encount subway sandwich planet ! believ ubc student smart starvin ' ( starvin ' student ) due mani restaur campu point grey area , subway need deliv qualiti product . subway sandwich tast insan better subway sandwhich locat anywher bc , canada rest world . weird , true ! note , n't accept coupon promot , believ 's anoth reason deliv qualiti product !",,,,,,0.11719379929207897,0.028030630867466565,0.10496200495466966,0.7469065623857861,0.002907002499998731
6,6,1,9,11,4,"Look, it's not like I'm walking into Subway expecting the moon and the stars or nothin'. I grew up eating hella sandwiches from the chain and often catch a craving for that weird smelling bread and processed white cheese, not to mention that since I went vegetarian it's often the most convenient option when a brother is in a hurry. Given those factors, it should be pretty easy to please me. All I want is a Veggie Delite on whole wheat with extra cheese and A LOT of cucumber. That's not difficult, but this location PERPETUALLY skimps on toppings on the veggie sub,  which is infuriating considering the fact that it costs the same as a Meatball or Tuna sandwich. Look, I feel that if I'm paying the same amount as I would for meat, I should get an equivalent amount of vegetables to compensate. Most Subways are pretty cool with it when I'm like ""Load that sub with Cucumber friend"", they'll straight hook a dude up with a mound of greens or whatever. Not the Subway in the Student Union Building though, I don't know if the manager there is some kind of food cost fascist or what but every time I've ever asked to be topped up with toppings I get a blank stare before they pass my sandwich to the cashier. That's some old bullshit man. 

Oh, and Subway, bring back the veggie patty sub! They got 'em just over the border, you can't tell me it ain't possible to fire some up to ol' Van City.",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2011,"look , 's like 'm walk subway expect moon star nothin ' . grew eat hella sandwich chain often catch crave weird smell bread process white chees , mention sinc went vegetarian 's often conveni option brother hurri . given factor , pretti easi pleas . want veggi delit whole wheat extra chees lot cucumb . 's difficult , locat perpetu skimp top veggi sub , infuri consid fact cost meatbal tuna sandwich . look , feel 'm pay amount would meat , get equival amount veget compens . subway pretti cool 'm like `` load sub cucumb friend '' , 'll straight hook dude mound green whatev . subway student union build though , n't know manag kind food cost fascist everi time 've ever ask top top get blank stare pass sandwich cashier . 's old bullshit man . oh , subway , bring back veggi patti sub ! got 'em border , ca n't tell ai n't possibl fire ol ' van citi .",,,,,,0.07098637251074451,0.001589341799544604,0.13695334305222598,0.7889169811785632,0.0015539614589218345
7,0,1,0,0,0,"Hi there, I have been to this Subway three times now, each times the customer service level keeps dropping! today the manager just like the last time, was  rude , not very friendly, too busy to even look at you while taking your money, he had me bag my own sandwich! he just left it there on the counter while talking on the phone just like last time! I have dealt with this man every time I have been into this store and he just doesn't care! he works there in physical existence but lacks the moral stature  that every manger or csr needs to have in order to ensure good customers satisfaction. Im never going back there! Every time I have been in this store he is always on his phone while taking customer payments. no respect to the people or his own duties!",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2018,"hi , subway three time , time custom servic level keep drop ! today manag like last time , rude , friendli , busi even look take money , bag sandwich ! left counter talk phone like last time ! dealt man everi time store n't care ! work physic exist lack moral statur everi manger csr need order ensur good custom satisfact . im never go back ! everi time store alway phone take custom payment . respect peopl duti !",,,,,,0.5878775035926835,0.003024233335084815,0.30604951325539953,0.10006052172901755,0.0029882280878146305
8,1,1,4,1,0,"I asked for a foot long turkey sandwich on whole wheat bread.
... The Subway worker pulls out a 6 INCH ASIAGO BREAD AND PUTS HAM ON IT.

Then I asked for cheese and avocado on it and then she slides my sandwich to the vegetable section, but I wanted my sandwich toasted.

She said: Too bad, I already put avocado on it.

TERRIBLE SERVICE. UBC really needs to FIRE these trashy workers that push around the students and who are RUDE to the students and don't take their jobs seriously. There are a ton of people looking for jobs and who would excel at their work, but these workers are a waste of the job.",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2013,"ask foot long turkey sandwich whole wheat bread . ... subway worker pull 6 inch asiago bread put ham . ask chees avocado slide sandwich veget section , want sandwich toast . said : bad , alreadi put avocado . terribl servic . ubc realli need fire trashi worker push around student rude student n't take job serious . ton peopl look job would excel work , worker wast job .",,,,,,0.21308868353243648,0.0034645097966722453,0.2797654929561988,0.48297294704201776,0.020708366672674727
9,2,1,1,1,0,"To be honest, I don't even know where to begin. This is the absolute worst Subway I've ever been to in my entire life... and I eat a LOT of Subway. I really, really wish I could give this place negative 5 stars because it's that bad. I don't even think I can even think of any other non-Subway restaurant or fast food joint with service this bad. It's THAT bad, and I don't know how the employees there have been working for so long, or why that Subway is still open. 

First things first, the UBC Student Union Building (SUB) isn't necessarily an oasis of food selection. You can get sushi, pizza, coffee, pastries, burgers, Chinese food, and some other basic food-court fare. There are also a few hidden gems in this building but they usually close earlier, so Subway is usually one of the only options when you're stuck in the centre of campus in the evening. 

I've ordered from this specific Subway location maybe about 4 or 5 times during my time here at UBC, but try and avoid it as much as I can. As a lover of Subway sandwiches, this place is truly a sorry excuse. None of my experiences here have ever been positive, and I decided to finally write this review after having a horrendous experience there today, when I had no choice but to eat there. This was my final time of ever ordering from this location. I've had enough of wasting my money here only to leave pissed off.

There were about 5 employees working. There were 2 customers in front of me and a few behind me, waiting in line. The employees did not acknowledge the customers before me (who were standing patiently) for a good 2 minutes. The moment they started both their sandwiches, they decided to start sandwiches for 5 people, including myself. They always seem to be making as many sandwiches as possible at once, which basically messes with everyone's orders.

I ordered a footlong steak & cheese. I LOVE my steak & cheese sandwiches and always make sure to load them up with every vegetable to the fullest. Whenever I order this sandwich from any other Subway, the ""artist"" could barely close it because of how much veggies are loaded into it. Yum! As a broke student, I want my money's worth.

Anyways, the lady who took my order and pulled the bread out barked at me for no apparent reason. Second lady who put the cheese on, threw the cheese onto my sandwich as if it was diseased or something, threw it in the toaster, and toasted it for too long. If you frequent Subway as much as I do, you notice that they practically scramble to get the sandwich out of the toaster as soon as it beeps. Well, they left it in for a little bit and all the sandwiches in there ended up looking quite crisp (not a good thing).

Now with the veggies, like I mentioned, I load them up to the fullest (but I only ask for extra when it comes to pickles and olives). Well, I got half a handful of lettuce, four misshapen tomato slices (2 of them being the ""butts"" of the tomato), 6 slices of olives (which makes up about an olive and a half) when I asked for extra, and a pinch of everything else. For reference, I get Subway quite often, and having a standard amount of veggies should make the sandwich hard to close. 

At that point, I was pretty damn disappointed, especially since I ordered one of the most expensive sandwiches. I get to the till, and the head grouchy lady barks the price to me. There were two sandwiches on the counter, one of them being the pizza sub of the guy behind me. His sandwich was ready to be rung through as well, so after I was told the price, I asked the cashier lady ""for the steak and cheese, right?"" just so the price is correct. She said yes in an awful tone and I paid. I grabbed my sandwich, and asked her ""steak and cheese?"" to make sure I was taking the right sub. She grouchily muttered ""YES"". Ok lady, calm down. 

I picked the sub up and I couldn't believe how light it was. Granted, the subs I'd get from this location were always feather-light because of how much they skimp out on the ingredients, so although I was disappointed, I sort of expected it.

I basically grabbed Subway for the purpose of having non-smelly, non-leaky, easily transportable, convenient food, especially since I was heading to a class. So I got what I wanted... or did I? I got to class, opened up my sandwich, and was quite annoyed as to how flat and pathetic it looked. I then open it up and it was a PIZZA SUB!!! The pizza sub of the guy that was standing behind me at Subway! At this point, I was fuming, but I couldn't go back. I ate the pizza sub in anger and dismay. Sigh.

So all in all... AVOID THIS SUBWAY LIKE THE PLAGUE!!! RUN! There is a new Subway in the UBC Village, about a 5 minute walk from the SUB. Do yourselves a favour and GO THERE! The difference in service and quality of food is ASTOUNDING. They actually smile and make your sandwich with care, even with all the crazy line-ups! Boycott the SUB Subway!",Subway,Vancouver,BC,V6T 1Z1,49.2683342,-123.2504728,9,0,"Restaurants, Fast Food, Sandwiches",False,False,2,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'loud',True,True,'none',False,'free',True,False,True,'casual',2014,"honest , n't even know begin . absolut worst subway 've ever entir life ... eat lot subway . realli , realli wish could give place neg 5 star 's bad . n't even think even think non-subway restaur fast food joint servic bad . 's bad , n't know employe work long , subway still open . first thing first , ubc student union build ( sub ) n't necessarili oasi food select . get sushi , pizza , coffe , pastri , burger , chines food , basic food-court fare . also hidden gem build usual close earlier , subway usual one option 're stuck centr campu even . 've order specif subway locat mayb 4 5 time time ubc , tri avoid much . lover subway sandwich , place truli sorri excus . none experi ever posit , decid final write review horrend experi today , choic eat . final time ever order locat . 've enough wast money leav piss . 5 employe work . 2 custom front behind , wait line . employe acknowledg custom ( stand patient ) good 2 minut . moment start sandwich , decid start sandwich 5 peopl , includ . alway seem make mani sandwich possibl , basic mess everyon 's order . order footlong steak & chees . love steak & chees sandwich alway make sure load everi veget fullest . whenev order sandwich subway , `` artist '' could bare close much veggi load . yum ! broke student , want money 's worth . anyway , ladi took order pull bread bark appar reason . second ladi put chees , threw chees onto sandwich diseas someth , threw toaster , toast long . frequent subway much , notic practic scrambl get sandwich toaster soon beep . well , left littl bit sandwich end look quit crisp ( good thing ) . veggi , like mention , load fullest ( ask extra come pickl oliv ) . well , got half hand lettuc , four misshapen tomato slice ( 2 `` butt '' tomato ) , 6 slice oliv ( make oliv half ) ask extra , pinch everyth els . refer , get subway quit often , standard amount veggi make sandwich hard close . point , pretti damn disappoint , especi sinc order one expens sandwich . get till , head grouchi ladi bark price . two sandwich counter , one pizza sub guy behind . sandwich readi rung well , told price , ask cashier ladi `` steak chees , right ? '' price correct . said ye aw tone paid . grab sandwich , ask `` steak chees ? '' make sure take right sub . grouchili mutter `` ye '' . ok ladi , calm . pick sub could n't believ light . grant , sub 'd get locat alway feather-light much skimp ingredi , although disappoint , sort expect . basic grab subway purpos non-smelli , non-leaki , easili transport , conveni food , especi sinc head class . got want ... ? got class , open sandwich , quit annoy flat pathet look . open pizza sub ! ! ! pizza sub guy stand behind subway ! point , fume , could n't go back . ate pizza sub anger dismay . sigh . ... avoid subway like plagu ! ! ! run ! new subway ubc villag , 5 minut walk sub . favour go ! differ servic qualiti food astound . actual smile make sandwich care , even crazi line-up ! boycott sub subway !",,,,,,0.17338064372535425,0.0004824247920268108,0.11417783219228289,0.70810193374609,0.0038571655442460853
